0,,,ALNS++,WFI,LOG-UFPB,Vavavuma!,HustSmart,Alkaid-X,WouterCo
187,R2_2_7,PI,0.155345342,0.033416783,0.082679546,0.005151161,0.06809136,0.006503172,0.004979995
188,2304.7,Best sol.,2304.7,2304.7,2304.7,2304.7,2304.7,2304.7,2304.7
189,R2_2_8,PI,0.204397523,0.04305857,0.241889095,0.039662062,0.02808511,0.024442478,0.007945712
190,1842.4,Best sol.,1842.4,1842.4,1844.7,1842.4,1842.4,1842.4,1842.4
191,R2_2_9,PI,0.348013032,0.13226597,0.040266337,0.038127771,0.094894369,0.033395188,0.009408074
192,2843.3,Best sol.,2846.3,2845.3,2844,2844,2844,2844,2843.3
193,RC1_2_10,PI,0.30605714,0.161416428,0.264611749,0.276789409,0.166479705,0.315540004,0.152874015
194,2990.5,Best sol.,2995,2994.9,2997.7,2994.9,2994.9,2997.1,2994.9
195,RC1_2_1,PI,0.300135444,0.148019388,0.030740501,0.234634749,0.015956494,0.002085341,0.003808423
196,3516.9,Best sol.,3521,3521.4,3516.9,3521.4,3516.9,3516.9,3516.9
197,RC1_2_2,PI,0.300397824,0.140834533,0.063026729,0.033658594,0.093282874,0.009703708,0.005872477
198,3221.6,Best sol.,3226.5,3221.6,3221.6,3221.6,3221.6,3221.6,3221.6
199,RC1_2_3,PI,0.190123556,0.163364048,0.505315037,0.504550839,0.433691593,0.167666308,0.006971964
200,3001.4,Best sol.,3001.8,3001.8,3015.8,3016,3008.4,3001.4,3001.4
201,RC1_2_4,PI,0.803623498,0.180614508,0.841846038,0.520199937,0.502975211,0.300005362,0.009205303
202,2845.2,Best sol.,2863.3,2845.2,2868.4,2858,2856.7,2845.8,2845.2
203,RC1_2_5,PI,0.197902663,0.0443317,0.037980483,0.169869926,0.086457627,0.010304436,0.007237855
204,3325.6,Best sol.,3326.9,3326.3,3326.3,3327.5,3327.5,3325.6,3325.6
205,RC1_2_6,PI,0.506898672,0.012168088,0.22326084,0.249316584,0.307624498,0.167066499,0.007152741
206,3300.7,Best sol.,3312.3,3300.7,3307.7,3307.7,3310.5,3304.2,3300.7
207,RC1_2_7,PI,0.156905099,0.07257183,0.027607175,0.017343912,0.032008432,0.004437675,0.00392563
208,3177.8,Best sol.,3177.9,3177.8,3177.8,3177.8,3177.8,3177.8,3177.8
209,RC1_2_8,PI,0.229048996,0.971137282,0.789818675,0.531179533,0.380645523,0.310564519,0.021057807
210,3060,Best sol.,3060,3060,3081.3,3071,3071,3060,3060
211,RC1_2_9,PI,0.394853317,0.268480796,0.26212716,0.484895178,0.095319649,0.04512935,0.036888706
212,3073.3,Best sol.,3074.8,3080.9,3080.4,3085.9,3074.8,3073.3,3073.6
213,RC2_2_10,PI,0.304661716,0.085309077,0.075836862,0.11651623,0.096620617,0.018939954,0.00505669
214,1989.2,Best sol.,1992.4,1989.3,1990.2,1990.2,1990.2,1989.2,1989.2
215,RC2_2_1,PI,0.203179272,0.068989482,0.183366252,0.133387409,0.014289432,0.059688886,0.005542669
216,2797.4,Best sol.,2799,2799,2802.1,2799,2797.4,2799,2797.4
217,RC2_2_2,PI,0.253748931,0.018352248,0.107664853,0.006938836,0.028298659,0.004141224,0.006337038
218,2481.6,Best sol.,2482.1,2481.7,2481.6,2481.6,2481.6,2481.6,2481.6
219,RC2_2_3,PI,0.244323676,0.091068379,0.281143786,0.134566654,0.112782699,0.082329235,0.069721184
220,2227.7,Best sol.,2229.3,2229.3,2233.7,2229.1,2229.1,2229.3,2229.1
221,RC2_2_4,PI,0.160337239,0.017508965,0.270404041,0.153990733,0.019646551,0.230770102,0.206424918
222,1854.8,Best sol.,1854.8,1854.8,1857.3,1854.8,1854.8,1857.6,1858.5
223,RC2_2_5,PI,0.304422522,0.013355693,0.140846271,0.170266206,0.011037367,0.015439042,0.003792145
224,2491.4,Best sol.,2491.4,2491.4,2493.5,2493.5,2491.4,2491.4,2491.4
225,RC2_2_6,PI,0.338940016,0.060509375,0.124716407,0.00195694,0.034938348,0.063002371,0.009130968
226,2495.1,Best sol.,2496.4,2496.4,2497.6,2495.1,2495.1,2496.4,2495.1
227,RC2_2_7,PI,1.250772083,0.022187959,0.023711923,0.177126668,0.050751909,0.054127082,0.006564164
228,2287.7,Best sol.,2312.8,2287.7,2287.7,2287.7,2287.7,2287.7,2287.7
229,RC2_2_8,PI,0.17058525,0.019047739,0.02071151,0.240608827,0.015586268,0.027130218,0.006442241
230,2151.2,Best sol.,2151.2,2151.2,2151.2,2156.3,2151.2,2151.2,2151.2
231,RC2_2_9,PI,0.331729653,0.029827478,0.279392231,0.22968223,0.018229644,0.148584168,0.00743628
232,2086.6,Best sol.,2086.6,2086.6,2091.1,2091.1,2086.6,2086.6,2086.6
233,C1_4_10,PI,0.197117881,0.076104698,0.207714058,0.495781422,0.029767149,0.013237764,0.009817999
234,6825.4,Best sol.,6826.8,6826.8,6837.1,6854.1,6826.5,6825.4,6825.4
235,C1_4_1,PI,0.071096022,0.00553826,0.001367632,0.000925,0.000406841,0.000908641,0.000144444
236,7138.8,Best sol.,7138.8,7138.8,7138.8,7138.8,7138.8,7138.8,7138.8
237,C1_4_2,PI,0.14224526,0.001611509,0.00119198,0.000962502,0.000730823,0.00328262,0.000269223
238,7113.3,Best sol.,7113.3,7113.3,7113.3,7113.3,7113.3,7113.3,7113.3
239,C1_4_3,PI,0.288331893,0.042406538,0.093757371,0.771333206,0.008301754,0.012695242,0.00593528
240,6929.9,Best sol.,6932.7,6931.7,6932.7,6966.6,6929.9,6929.9,6929.9
241,C1_4_4,PI,0.112453313,0.58440615,0.274143849,0.581148474,0.068701122,0.022815185,0.042901578
242,6777.7,Best sol.,6777.7,6812.6,6787.2,6811,6778.1,6777.7,6777.7
243,C1_4_5,PI,0.132291599,0.000766977,0.000946142,0.001050439,0.000381823,0.001382037,0.000141667
244,7138.8,Best sol.,7138.8,7138.8,7138.8,7138.8,7138.8,7138.8,7138.8
245,C1_4_6,PI,0.142382402,0.000760965,0.001084134,0.001206663,0.000499285,0.001211365,0.000133547
246,7140.1,Best sol.,7140.1,7140.1,7140.1,7140.1,7140.1,7140.1,7140.1
247,C1_4_7,PI,0.216684605,0.010596903,0.001360001,0.001183131,0.000492729,0.00151679,0.006423561
248,7136.2,Best sol.,7136.2,7136.2,7136.2,7136.2,7136.2,7136.2,7136.2
249,C1_4_8,PI,0.301129658,0.008380331,0.341093678,0.340609602,0.006526349,0.002384232,0.004892994
250,7083,Best sol.,7083,7083,7107,7107,7083,7083,7083
251,C1_4_9,PI,0.775767741,0.504684451,0.503977306,1.196543001,0.449181073,0.391614591,0.036379937
252,6927.8,Best sol.,6952,6961.4,6961.3,6961.9,6952,6952,6927.8
253,C2_4_10,PI,0.275242567,0.253819613,0.680259544,0.332995265,0.10569128,0.028655856,0.011753345
254,3665.1,Best sol.,3669.8,3669.6,3669.6,3669.6,3665.1,3665.1,3665.1
255,C2_4_1,PI,0.071256927,0.039250753,0.020072859,0.007042443,0.012539076,0.001713765,0.007659306
256,4100.3,Best sol.,4100.3,4100.3,4100.3,4100.3,4100.3,4100.3,4100.3
257,C2_4_2,PI,0.145100282,0.022485023,0.330021805,0.113467628,0.007812292,0.003477579,0.008454368
258,3914.1,Best sol.,3914.1,3914.1,3914.1,3914.1,3914.1,3914.1,3914.1
259,C2_4_3,PI,1.288528022,0.05882452,0.622948931,0.563954361,0.05668737,0.028543799,0.01196778
260,3755.2,Best sol.,3792.4,3755.6,3766.4,3770.7,3755.9,3755.9,3755.2
261,C2_4_4,PI,2.80028229,0.411807907,1.890235964,1.48441543,0.13377288,0.075235239,0.024377934
262,3523.7,Best sol.,3619.5,3526.3,3573.3,3573.3,3525,3524.3,3523.7
263,C2_4_5,PI,0.188638871,0.08506274,0.077148678,0.021010846,0.009708835,0.005293212,0.011385916
264,3923.2,Best sol.,3927.5,3923.2,3923.2,3923.2,3923.2,3923.2,3923.2
265,C2_4_6,PI,0.084357613,0.010473549,0.019191994,0.024814375,0.002589627,0.005469032,0.005982325
266,3860.1,Best sol.,3860.2,3860.1,3860.1,3860.1,3860.1,3860.1,3860.1
267,C2_4_7,PI,0.161671079,0.017974551,0.058027907,0.365942668,0.016771028,0.012633555,0.010141869
268,3870.9,Best sol.,3870.9,3870.9,3870.9,3870.9,3870.9,3870.9,3870.9
269,C2_4_8,PI,0.314812267,0.226186083,0.355342648,0.559074289,0.221287954,0.12410363,0.024075444
270,3773.7,Best sol.,3780.5,3780.5,3782.9,3780.5,3780.5,3773.7,3773.8
271,C2_4_9,PI,0.701966334,0.046351998,0.600267102,0.299741725,0.012410442,0.219766718,0.019536384
272,3842.1,Best sol.,3863.7,3842.1,3843.2,3844,3842.1,3849.8,3842.1
273,R1_4_10,PI,0.955087327,1.788724673,1.420357539,0.794218507,0.573981959,0.326798037,0.029600739
274,8086.4,Best sol.,8154.5,8198,8189,8138.8,8098.9,8103,8081.9
275,R1_4_1,PI,0.187789475,0.403359977,0.201036417,0.282805184,0.095122472,0.099025527,0.032491252
276,10305.8,Best sol.,10313.8,10335,10315.6,10313.8,10313.9,10314,10305.8
277,R1_4_2,PI,0.3611303,1.107971917,0.60914547,1.240898474,0.17202325,0.069838769,0.05445744
278,8876.4,Best sol.,8893.5,8949.5,8904.5,8967.2,8881.4,8875.7,8876
279,R1_4_3,PI,0.842051374,1.240122381,0.824779842,1.117315241,0.319935041,0.508404008,-0.080577039
280,7802.8,Best sol.,7859.9,7888.1,7845.3,7879,7809.8,7832.6,7790.2
281,R1_4_4,PI,1.236480564,1.969822524,0.872676409,1.218433164,0.56075618,0.967224579,0.02651474
282,7269,Best sol.,7348.9,7360.9,7313.9,7342.8,7278.9,7312,7266.2
